workerid,proliferate.condition,Browser,OS,screenH,screenW,error
991,condition1,Safari,iPhone/iPod,896,414,
733,condition1,Chrome,Windows,864,1536,
598,condition1,Firefox,Windows,1080,1920,
879,condition1,Firefox,Windows,1080,1920,
676,condition1,Chrome,Windows,1080,1920,
619,condition1,Safari,iPhone/iPod,812,375,
826,condition1,Chrome,Windows,1080,1920,
600,condition1,Chrome,Linux,915,412,
909,condition1,Chrome,Mac,900,1440,
804,condition1,Chrome,Windows,768,1366,
786,condition1,Chrome,Windows,1080,1920,
910,condition1,Safari,iPhone/iPod,736,414,
716,condition1,Chrome,Windows,615,1093,
699,condition1,Safari,Mac,1024,768,
824,condition1,Chrome,Linux,800,360,
881,condition1,Chrome,Windows,1080,1920,
851,condition1,Safari,iPhone/iPod,844,390,
798,condition1,Safari,Mac,1024,768,
610,condition1,Chrome,Windows,864,1536,
938,condition1,Chrome,Linux,756,360,
842,condition1,Chrome,Windows,1080,1920,
614,condition1,Chrome,Linux,869,412,
649,condition1,Safari,iPhone/iPod,812,375,
588,condition1,Chrome,Windows,1080,1920,
605,condition1,Chrome,Linux,775,388,
765,condition1,Chrome,Windows,768,1366,
590,condition1,Chrome,Linux,640,360,
597,condition1,Chrome,Windows,864,1536,
618,condition1,Chrome,Windows,768,1366,
623,condition1,Chrome,Windows,1152,2048,
634,condition1,Chrome,Windows,1080,1920,
691,condition1,Chrome,Linux,858,384,
752,condition1,Chrome,Windows,1003,1504,
925,condition1,Chrome,Windows,1080,1920,
921,condition1,Safari,Mac,900,1440,
772,condition1,Chrome,Windows,1080,1920,
759,condition1,Chrome,Windows,912,1368,
968,condition1,Chrome,Windows,900,1600,
639,condition1,Safari,iPhone/iPod,896,414,
773,condition1,Chrome,Linux,854,384,
815,condition1,Chrome,Windows,864,1536,
650,condition1,Chrome,Windows,1080,1920,
867,condition1,Chrome,Windows,720,1280,
736,condition1,Firefox,Mac,900,1440,
781,condition1,Chrome,Windows,1080,1920,
802,condition1,Safari,iPhone/iPod,844,390,
724,condition1,Chrome,Mac,900,1440,
975,condition1,Chrome,Windows,1080,1920,
661,condition1,Chrome,Windows,800,1280,
827,condition1,Firefox,Windows,864,1536,
743,condition1,Chrome,Mac,900,1440,
973,condition1,Chrome,Linux,768,1366,
981,condition1,Firefox,Mac,900,1440,
939,condition1,Chrome,Mac,900,1440,
629,condition1,Chrome,Windows,900,1600,
945,condition1,Chrome,Windows,811,1442,
741,condition1,Chrome,Windows,768,1366,
685,condition1,Chrome,Windows,1080,1920,
873,condition1,Chrome,Linux,768,1366,
915,condition1,Chrome,Linux,1024,1280,
892,condition1,Firefox,Windows,864,1536,
695,condition1,Chrome,Linux,760,360,
967,condition1,Safari,iPhone/iPod,896,414,
821,condition1,Chrome,Windows,864,1536,
780,condition1,Firefox,Windows,1080,1920,
937,condition1,Chrome,Windows,1024,1280,
972,condition1,Safari,iPhone/iPod,667,375,
1000,condition1,Firefox,Windows,1080,1920,
728,condition1,Safari,iPhone/iPod,926,428,
606,condition1,Chrome,Windows,768,1366,
916,condition1,Chrome,Windows,864,1536,
845,condition1,Chrome,Windows,1080,1920,
670,condition1,Firefox,Windows,840,1344,
928,condition1,Chrome,Linux,811,384,
987,condition1,Chrome,Windows,1080,1920,
844,condition1,Chrome,Windows,768,1366,
713,condition1,Firefox,Linux,768,1366,
687,condition1,Chrome,Windows,768,1366,
599,condition1,Chrome,Windows,1080,1920,
829,condition1,Chrome,Linux,846,412,
831,condition1,Chrome,Mac,900,1440,
803,condition1,Safari,iPhone/iPod,926,428,
878,condition1,Firefox,Windows,1080,1920,
957,condition1,Chrome,Linux,853,1517,
697,condition1,Chrome,Mac,900,1440,
833,condition1,Safari,iPhone/iPod,736,414,
755,condition1,Safari,Mac,1024,768,
1002,condition1,Chrome,Linux,854,384,
675,condition1,Chrome,Windows,1080,1920,
722,condition1,Chrome,Windows,864,1536,
931,condition1,Chrome,Linux,768,1366,
956,condition1,Chrome,Windows,864,1536,
635,condition1,Chrome,Linux,768,1366,
725,condition1,Chrome,Windows,768,1366,
686,condition1,Chrome,Windows,768,1366,
800,condition1,Chrome,Windows,1080,1920,
655,condition1,Chrome,Windows,768,1366,
659,condition1,Chrome,Windows,864,1536,
932,condition1,Chrome,Linux,864,1536,
