workerid,proliferate.condition,answerer gender,character_type,crit_trial_number,fill_trial_number,image1,image2,item,maximum,minimum,minute,name1,name2,questioner gender,stakes,time,trial_number,trial_time_minutes,trial_type,error
796,condition1,male,fill,NA,2,filler_guy2,filler_guy4,restaurant_fill,20,-3,20,Dakota,Sam,male,low,none,5,0.15775,fill,
796,condition1,female,fill,NA,3,filler_girl4,filler_girl3,store_fill,13,-11,5,Jamie,Shawn,female,high,none,6,0.13746666666666665,fill,
796,condition1,male,nerd,4,NA,nerd_girl2,nerd_guy2,shopping_crit,5,-5,none,Devin,Ash,female,high,1:30,7,0.12213333333333332,crit,
796,condition1,male,fill,NA,4,filler_girl1,filler_guy3,phone_fill,11,-17,15,Jessie,Riley,female,low,none,8,0.11853333333333334,fill,
735,condition1,male,nerd,1,NA,nerd_guy2,nerd_guy1,shopping_crit,0,-2,none,Riley,Alex,male,high,8:00,1,0.4692166666666666,crit,
735,condition1,female,fill,NA,1,filler_guy4,filler_girl3,phone_fill,0,-15,5,Morgan,Shawn,male,low,none,2,0.4616666666666666,fill,
735,condition1,female,fill,NA,2,filler_guy2,filler_girl2,restaurant_fill,-11,-20,20,Jordan,Jamie,male,low,none,3,0.31476666666666664,fill,
735,condition1,female,nerd,2,NA,nerd_girl1,nerd_girl2,bank_crit,0,-1,none,Devin,Ash,female,high,3:00,4,0.3415666666666667,crit,
735,condition1,female,fill,NA,3,filler_girl1,filler_girl4,coffee_fill,-10,-15,10,Kendall,Quinn,female,high,none,5,0.35183333333333333,fill,
735,condition1,male,hippie,3,NA,hippie_guy1,hippie_guy2,airport_crit,0,-2,none,Casey,Dakota,male,low,9:30,6,0.2271,crit,
735,condition1,male,fill,NA,4,filler_guy1,filler_guy3,store_fill,-11,-20,15,Skyler,Sam,male,high,none,7,0.22521666666666668,fill,
735,condition1,female,hippie,4,NA,hippie_girl1,hippie_girl2,premiere_crit,-1,-5,none,Taylor,Jessie,female,low,1:30,8,0.27908333333333335,crit,
658,condition1,male,hippie,1,NA,hippie_girl2,hippie_guy2,premiere_crit,5,-5,none,Quinn,Sam,female,low,9:30,1,0.3899166666666667,crit,
658,condition1,female,hippie,2,NA,hippie_guy1,hippie_girl1,bank_crit,5,-5,none,Skyler,Ash,male,high,1:30,2,0.2682833333333333,crit,
658,condition1,female,fill,NA,1,filler_guy1,filler_girl2,coffee_fill,-10,10,15,Jamie,Jordan,male,high,none,3,0.36993333333333334,fill,
658,condition1,female,fill,NA,2,filler_guy3,filler_girl1,restaurant_fill,-10,10,10,Taylor,Devin,male,low,none,4,0.14373333333333332,fill,
658,condition1,female,nerd,3,NA,nerd_guy2,nerd_girl1,airport_crit,5,-5,none,Kendall,Jessie,male,low,8:00,5,0.2358,crit,
658,condition1,female,fill,NA,3,filler_girl4,filler_girl3,phone_fill,-15,15,20,Shawn,Alex,female,low,none,6,0.1634,fill,
658,condition1,male,fill,NA,4,filler_guy4,filler_guy2,store_fill,16,-16,5,Riley,Casey,male,high,none,7,0.24738333333333337,fill,
658,condition1,female,nerd,4,NA,nerd_guy1,nerd_girl2,shopping_crit,5,-5,none,Dakota,Morgan,male,high,3:00,8,0.28541666666666665,crit,
971,condition1,female,fill,NA,1,filler_guy1,filler_girl1,coffee_fill,1,0,15,Jamie,Kendall,male,high,none,1,0.30923333333333336,fill,
971,condition1,female,hippie,1,NA,hippie_girl1,hippie_girl2,bank_crit,5,-4,none,Ash,Shawn,female,high,3:00,2,0.30983333333333335,crit,
971,condition1,female,fill,NA,2,filler_girl4,filler_girl2,store_fill,3,-4,10,Sam,Skyler,female,high,none,3,0.17635,fill,
971,condition1,male,fill,NA,3,filler_guy4,filler_guy2,restaurant_fill,5,-3,5,Riley,Jordan,male,low,none,4,0.1345,fill,
971,condition1,female,nerd,2,NA,nerd_girl1,nerd_girl2,airport_crit,4,-4,none,Dakota,Alex,female,low,1:30,5,0.15936666666666666,crit,
971,condition1,male,nerd,3,NA,nerd_guy1,nerd_guy2,premiere_crit,4,-4,none,Taylor,Jessie,male,low,8:00,6,0.16378333333333334,crit,
971,condition1,male,hippie,4,NA,hippie_guy2,hippie_guy1,shopping_crit,4,-5,none,Devin,Morgan,male,high,9:30,7,0.17191666666666666,crit,
971,condition1,female,fill,NA,4,filler_guy3,filler_girl3,phone_fill,4,-3,20,Casey,Quinn,male,low,none,8,0.09946666666666666,fill,
643,condition1,female,nerd,1,NA,nerd_girl1,nerd_girl2,airport_crit,6,-7,none,Ash,Skyler,female,low,8:00,1,0.24971666666666667,crit,
643,condition1,male,fill,NA,1,filler_guy1,filler_guy4,restaurant_fill,20,-20,10,Quinn,Riley,male,low,none,2,0.2062,fill,
643,condition1,male,hippie,2,NA,hippie_guy1,hippie_guy2,shopping_crit,6,-10,none,Dakota,Taylor,male,high,9:30,3,0.3423333333333333,crit,
