workerid,proliferate.condition,answerer gender,character_type,crit_trial_number,fill_trial_number,image1,image2,item,maximum,minimum,minute,name1,name2,questioner gender,stakes,time,trial_number,trial_time_minutes,trial_type,error
399,condition1,female,nerd,3,NA,nerd_girl2,nerd_girl1,premiere_crit,0,-2,none,Jamie,Taylor,female,low,8:00,5,0.3974,crit,
399,condition1,female,fill,NA,3,filler_girl4,filler_girl1,coffee_fill,5,-5,5,Ash,Shawn,female,high,none,6,0.3199666666666667,fill,
399,condition1,male,fill,NA,4,filler_guy1,filler_guy3,store_fill,5,-3,10,Jessie,Riley,male,high,none,7,0.3075833333333333,fill,
399,condition1,male,nerd,4,NA,nerd_guy1,nerd_guy2,shopping_crit,0,-2,none,Jordan,Morgan,male,high,9:30,8,0.2683,crit,
268,condition1,male,nerd,1,NA,nerd_girl1,nerd_guy1,airport_crit,15,0,none,Jordan,Ash,female,low,9:30,1,0.275,crit,
268,condition1,female,fill,NA,1,filler_girl1,filler_girl2,restaurant_fill,17,-6,5,Kendall,Jamie,female,low,none,2,0.2934833333333333,fill,
268,condition1,male,fill,NA,2,filler_guy1,filler_guy3,coffee_fill,10,-11,10,Riley,Shawn,male,high,none,3,0.21676666666666664,fill,
268,condition1,male,fill,NA,3,filler_guy2,filler_guy4,phone_fill,10,-7,20,Alex,Quinn,male,low,none,4,0.15245,fill,
268,condition1,female,fill,NA,4,filler_girl4,filler_girl3,store_fill,-8,5,15,Devin,Taylor,female,high,none,5,0.09231666666666669,fill,
268,condition1,female,hippie,2,NA,hippie_guy2,hippie_girl1,premiere_crit,-9,12,none,Morgan,Skyler,male,low,8:00,6,0.09816666666666668,crit,
268,condition1,male,nerd,3,NA,nerd_girl2,nerd_guy2,bank_crit,-7,-8,none,Jessie,Casey,female,high,3:00,7,0.099,crit,
268,condition1,male,hippie,4,NA,hippie_girl2,hippie_guy1,shopping_crit,7,10,none,Sam,Dakota,female,high,1:30,8,0.19403333333333336,crit,
220,condition1,female,hippie,1,NA,hippie_guy2,hippie_girl2,bank_crit,5,-5,none,Kendall,Skyler,male,high,3:00,1,0.7476833333333334,crit,
220,condition1,male,hippie,2,NA,hippie_girl1,hippie_guy1,premiere_crit,5,-5,none,Sam,Jordan,female,low,9:30,2,0.3244166666666667,crit,
220,condition1,female,fill,NA,1,filler_guy3,filler_girl2,restaurant_fill,0,-20,20,Ash,Quinn,male,low,none,3,0.3557,fill,
220,condition1,female,fill,NA,2,filler_girl1,filler_girl4,phone_fill,0,-20,15,Morgan,Jamie,female,low,none,4,0.2485,fill,
220,condition1,female,nerd,3,NA,nerd_girl1,nerd_girl2,shopping_crit,5,-5,none,Shawn,Taylor,female,high,1:30,5,0.31421666666666664,crit,
220,condition1,male,fill,NA,3,filler_guy4,filler_guy2,coffee_fill,0,-10,5,Riley,Jessie,male,high,none,6,0.329,fill,
220,condition1,female,fill,NA,4,filler_guy1,filler_girl3,store_fill,0,-20,10,Alex,Dakota,male,high,none,7,0.372,fill,
220,condition1,male,nerd,4,NA,nerd_guy2,nerd_guy1,airport_crit,5,-5,none,Casey,Devin,male,low,8:00,8,0.1851,crit,
431,condition1,female,fill,NA,1,filler_guy3,filler_girl1,store_fill,15,-9,10,Skyler,Jamie,male,high,none,1,0.2546,fill,
431,condition1,male,fill,NA,2,filler_girl4,filler_guy2,restaurant_fill,11,-12,15,Jordan,Quinn,female,low,none,2,0.18028333333333332,fill,
431,condition1,female,hippie,1,NA,hippie_girl1,hippie_girl2,bank_crit,3,-2,none,Casey,Taylor,female,high,3:00,3,0.24778333333333333,crit,
431,condition1,female,fill,NA,3,filler_girl3,filler_girl2,coffee_fill,13,-9,20,Sam,Alex,female,high,none,4,0.16715,fill,
431,condition1,male,nerd,2,NA,nerd_girl1,nerd_guy2,premiere_crit,5,-2,none,Devin,Kendall,female,low,9:30,5,0.19168333333333337,crit,
431,condition1,female,nerd,3,NA,nerd_guy1,nerd_girl2,airport_crit,5,-3,none,Ash,Shawn,male,low,1:30,6,0.3001333333333333,crit,
431,condition1,male,hippie,4,NA,hippie_guy2,hippie_guy1,shopping_crit,6,-4,none,Jessie,Dakota,male,high,8:00,7,1.4671,crit,
431,condition1,male,fill,NA,4,filler_guy4,filler_guy1,phone_fill,14,-6,5,Riley,Morgan,male,low,none,8,0.14125,fill,
543,condition1,female,nerd,1,NA,nerd_guy1,nerd_girl2,shopping_crit,1,-4,none,Taylor,Sam,male,high,1:30,1,0.6746333333333333,crit,
543,condition1,female,fill,NA,1,filler_girl3,filler_girl4,phone_fill,3,-6,5,Quinn,Jordan,female,low,none,2,0.28081666666666666,fill,
543,condition1,male,hippie,2,NA,hippie_girl1,hippie_guy1,bank_crit,1,-6,none,Devin,Riley,female,high,3:00,3,0.28113333333333335,crit,
543,condition1,male,hippie,3,NA,hippie_girl2,hippie_guy2,premiere_crit,1,-5,none,Ash,Jessie,female,low,9:30,4,0.24965,crit,
543,condition1,male,fill,NA,2,filler_guy3,filler_guy1,coffee_fill,2,-13,20,Casey,Skyler,male,high,none,5,0.30525,fill,
543,condition1,male,fill,NA,3,filler_guy4,filler_guy2,store_fill,1,-6,10,Jamie,Dakota,male,high,none,6,0.1891,fill,
543,condition1,male,nerd,4,NA,nerd_girl1,nerd_guy2,airport_crit,1,-5,none,Alex,Morgan,female,low,8:00,7,0.266,crit,
543,condition1,female,fill,NA,4,filler_girl1,filler_girl2,restaurant_fill,2,-10,15,Shawn,Kendall,female,low,none,8,0.15088333333333334,fill,
